Movie,Director,Year,Rating,Summary,Worldwide Box Office ($),Rotten Tomatoes (%),Rotten Tomatoes (as decimal)
Minari,Lee Isaac Chung,2020,PG-13,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",15474659,98,0.98
False Positive,John Lee,2021,R,"As if getting pregnant weren't complicated enough, Lucy sets out to uncover the unsettling truth about her fertility doctor.",100,46,0.46
Zola,Janicza Bravo,2020,R,A stripper named Zola embarks on a wild road trip to Florida.,5170200,88,0.88
Val,Ting Poo,2021,R,"A documentary centering on the daily life of actor Val Kilmer, featuring never-before-seen footage spanning 40 years.",100,93,0.93
The Green Knight,David Lowery,2021,R,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,20022491,89,0.89
Lamb,Valdimar Johannsson,2021,R,A childless couple discovers a mysterious newborn on their farm in Iceland.,4064302,86,0.86
The Souvenir: Part II,Joanna Hogg,2021,R,"In the aftermath of her tumultuous relationship, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction.",381303,90,0.90
C'mon C'mon,Mike Mills,2021,R,"When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.",3299430,94,0.94
The Humans,Stephen Karam,2021,R,"During one evening, the Blake family gathers to celebrate Thanksgiving in a broken-down flat newly rented by the daughter and her new man. As the darkness falls, we find that all have less to be thankful about.",46811,92,0.92
Red Rocket,Sean Baker,2021,R,"Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.",1678408,90,0.90
The Tragedy of Macbeth,Joel Coen,2021,R,"A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.",176248,92,0.92
The Sky Is Everywhere,Josephine Decker,2022,PG-13,"A shy, teenage musician tries to keep things together in the aftermath of her older, more outgoing sister's death.",100,64,0.64
After Yang,Kogonada,2021,PG,"In a near future, a family reckons with questions of love, connection, and loss after their A.I. helper unexpectedly breaks down.",499132,89,0.89
X,Ti West,2022,R,"In 1979, a group of young filmmakers set out to make an adult film in a rural Texas farm, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives.",15113105,94,0.94
Everything Everywhere All at Once,Daniel Kwan,2022,R,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,111478881,94,0.94
Men,Alex Garland,2022,R,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,10286166,69,0.69
Elizabeth: A Portrait in Part(s),Roger Michell,2022,NA,"A documentary on the life of Queen Elizabeth II, the longest-lived, longest reigning British monarch and longest serving female head of state in history.",127684,88,0.88
Marcel the Shell with Shoes On,Dean Fleischer Camp,2021,PG,A cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his Airbnb with his friends.,7111769,98,0.98
Bodies Bodies Bodies,Halina Reijn,2022,R,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly.",14029755,86,0.86
Funny Pages,Owen Kline,2022,R,A bitingly funny coming-of-age story of a teenage cartoonist who rejects the comforts of his suburban life in a misguided quest for soul.,64609,82,0.82
Pearl,Ti West,2022,R,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm.",10139416,93,0.93
Instinct,Halina Reijn,2019,NA,"In spite of her expertise and experience, a seasoned psychologist is completely infatuated by the sex offender she is treating in a penal institution.",947316,80,0.80
God's Creatures,Saela Davis,2022,R,"In a windswept fishing village, a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community.",201874,90,0.90
Stars at Noon,Claire Denis,2022,R,"A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape. She soon realizes, however, that he may be in even greater danger than she is.",59257,62,0.62
Aftersun,Charlotte Wells,2022,R,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't.,9750994,95,0.95
Causeway,Lila Neugebauer,2022,R,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.,100,85,0.85
